BV号：BV1BdC3YjE6k
标题：BV1BdC3YjE6k
链接：https://www.bilibili.com/video/BV1BdC3YjE6k
识别语言：zh
语言置信度：1
分段数：569
生成时间：2026-08-31 00:03:18

[00:00:00 - 00:00:03] 大家好 這裡是最佳拍檔 我是大飛
[00:00:03 - 00:00:05] 前兩天 微軟的CEO薩提亞.納德拉
[00:00:05 - 00:00:08] 與著名的投資人比爾格里和布拉德.格斯特納
[00:17:04 - 00:17:05] 因为OPI的成功与否
[00:17:05 - 00:17:07] 直接关系到微软在AI领域的
[00:17:07 - 00:17:09] 战略布局和投资回报
[00:17:09 - 00:17:11] 从客户服务的角度出发
[00:17:11 - 00:17:14] V-RAN将OPI当做一个重要的大客户来对待
[00:17:14 - 00:17:16] 致力于为它提供优质高效的服务
[00:17:16 - 00:17:19] 满足它在技术 资源等多方面的需求
[00:17:19 - 00:17:21] 在业务合作层面
[00:17:21 - 00:17:24] 双方在多个领域存在着合作与竞争的复杂关系
[00:17:24 - 00:17:25] 以API为例
[00:17:25 - 00:17:27] 对于Aero客户来说
[00:17:27 - 00:17:30] 使用Aero上的OPIAPI是一个自然的选择
[00:17:30 - 00:17:34] 但是对于那些在AWS或者其他云平台上的客户来说
[00:17:34 - 00:17:36] 可能就会直接选择OPI的API
[00:17:36 - 00:17:38] 在合作过程中
[00:17:38 - 00:17:40] 双方也面临着一些挑战和紧张的关系
[00:17:41 - 00:17:44] OPI追求快速发展和技术突破的节奏
[00:17:44 - 00:17:47] 与微软所需要遵循的纪律以及整体限制之间
[00:17:47 - 00:17:49] 需要进行精细的平衡和协调
[00:17:49 - 00:17:50] 在模型训练方面
[00:17:50 - 00:17:52] 微软基于与OPI的合作关系
[00:17:52 - 00:17:54] 以及对于知识产权的考量
[00:17:54 - 00:17:56] 也采取了独特的策略
[00:17:56 - 00:17:59] 微软不会进行重复的无意义的模型训练工作
[00:17:59 - 00:18:01] 而是选择集中计算资源
[00:18:01 - 00:18:04] 将重点放在提升模型的适应性和特定能力上
[00:18:05 - 00:18:07] 比如说微软会在符合一定原则的技术上
[00:18:08 - 00:18:09] 继续练工作
[00:18:09 - 00:18:12] 同时积极地开发多样化的模型权重和模型类别
[00:18:12 - 00:18:15] 来满足市场上各种复杂的用场景需求
[00:18:15 - 00:18:17] 对于OPI的一些重大决策
[00:18:17 - 00:18:19] 比如说涉及到战略转型
[00:18:19 - 00:18:21] 盈利模式调整等等关键的问题
[00:18:21 - 00:18:24] 微软虽然作为投资者拥有一定的话语权
[00:18:24 - 00:18:26] 但是最终决策权仍然掌握在
[00:18:26 - 00:18:29] OPI的董事会和核心团队的手中
[00:18:29 - 00:18:32] 微软表示会积极支持OPI做出的任何决策
[00:18:32 - 00:18:33] 因为他们深植
[00:18:33 - 00:18:36] OPI在当前人工智能行业中的标志性地位
[00:18:36 - 00:18:37] 从长远来看
[00:18:37 - 00:18:39] 一个强大而且成功的OPI
[00:18:39 - 00:18:41] 也符合微软自身的力
[00:18:41 - 00:18:43] 因此微软希望能够与OPI
[00:18:43 - 00:18:45] 保持长期稳定的合作关系
[00:18:45 - 00:18:47] 通过双方的共同努力
[00:18:47 - 00:18:50] 在AI领域实现更大的突破和发展
[00:18:50 - 00:18:53] 最后在AI安全与开源必远的问题上
[00:18:53 - 00:18:54] 纳德拉认为
[00:18:54 - 00:18:56] 开源与必远在AI领域
[00:18:56 - 00:18:57] 是两种不同的策略
[00:18:57 - 00:19:00] 他们并非是相互对立的宗教式的阵营
[00:19:00 - 00:19:02] 而是具有各自独特价值
[00:19:02 - 00:19:04] 和应用场景的两条创新之路
[00:19:04 - 00:19:05] 以Met为例
[00:19:05 - 00:19:08] Mite試圖開源拉帽模型的做法
[00:19:08 - 00:19:10] 就有點類似於Linux的發展模式
[00:19:10 - 00:19:12] Linux作為一個開源操作系統
[00:19:12 - 00:19:14] 通過眾多實體的共同參與和貢獻
[00:19:14 - 00:19:17] 逐漸形成了一個龐大而活躍的生態系統
[00:19:17 - 00:19:21] 微軟實際上也是Linux生態系統的重要貢獻者之一
[00:19:21 - 00:19:24] 這表明不同的企業在開源模式下可以實現互利共贏
[00:19:24 - 00:19:28] 當然了 必然模式也具有一定的合理性和必要性
[00:19:28 - 00:19:31] 微軟自身就擁有許多的必然產品
[00:19:31 - 00:19:34] 這些產品在特定的市場需求和商業環境下
[00:19:34 - 00:19:35] 能夠發揮出獨特的優勢
[00:19:35 - 00:19:39] 但是無論是開源還是必源的人工智能系統
[00:19:39 - 00:19:41] 都需要遵循相關的法規要求
[00:19:41 - 00:19:44] 安全標準將平等的適用力量者
[00:19:44 - 00:19:45] 不能夠簡單地認為
[00:19:45 - 00:19:48] 開源系統就一定比必源系統更加安全
[00:19:48 - 00:19:49] 反之易燃
[00:19:49 - 00:19:51] 在資本主義的商業環境下
[00:19:51 - 00:19:52] 多樣化的競爭格局
[00:19:52 - 00:19:54] 對大家來說是更為有利的
[00:19:54 - 00:19:57] 不同的公司會根據資深的戰略定位
[00:19:57 - 00:19:59] 技術實力 市場需求等等因素
[00:19:59 - 00:20:02] 自主選擇適合自己的開源或者必源道路
[00:20:02 - 00:20:05] 同时政府在人工智能的发展过程中
[00:20:05 - 00:20:07] 将扮演越来越重要的监管角色
[00:20:07 - 00:20:09] 无论是在模型的研发
[00:20:09 - 00:20:11] 应用还是数据安全等等方面
[00:20:11 - 00:20:14] 都会出台一系列严格的政策和法规
[00:20:14 - 00:20:17] 未来专门的AI安全机构
[00:20:17 - 00:20:18] 也将会应用而生
[00:20:18 - 00:20:21] 负责制定和执行统一的安全标准
[00:20:21 - 00:20:23] 确保人工智能技术的健康
[00:20:23 - 00:20:24] 可持续发展
[00:20:24 - 00:20:25] 在国家安全层面
[00:20:25 - 00:20:27] 人工智能已经引起了各国政府的
[00:20:27 - 00:20:28] 高度关注和重视
[00:20:28 - 00:20:31] 政府在人工智能模型的发展方向
[00:20:31 - 00:20:33] 監管制度的设计等等方面
[00:20:33 - 00:20:34] 拥有着广泛的话语权
[00:20:34 - 00:20:37] 他们的决策也必将深刻的影响
[00:20:37 - 00:20:38] 人物智能产业的未来走向
[00:20:38 - 00:20:41] 好了 以上就是纳德拉在这次访战中
[00:20:41 - 00:20:42] 提到的主要观点了
[00:20:42 - 00:20:45] 他的说话风格就像他的做事风格一样
[00:20:45 - 00:20:46] 老练沉稳
[00:20:46 - 00:20:48] 对微软在于AI时代的布局
[00:20:48 - 00:20:50] 以及对于OPI的投资
[00:20:50 - 00:20:52] 似乎一切都进在他的掌控中
[00:20:52 - 00:20:54] 但是根据报道
[00:20:54 - 00:20:55] 微软和OPI的合作
[00:20:55 - 00:20:57] 其实已经开始有了一些裂痕
[00:20:57 - 00:20:59] 尤其是苏莱曼回归以后
[00:20:59 - 00:21:01] 和OPI的高层之间
[00:21:01 - 00:21:02] 似乎冲突开始加剧
[00:21:02 - 00:21:05] OpenI也在寻求其他的资金方和资源
[00:21:05 - 00:21:07] 后续双方会如何合作
[00:21:07 - 00:21:08] 似乎有些铺朔迷离
[00:21:09 - 00:21:10] 相比之下
[00:21:10 - 00:21:12] 微软在AI领域也并不像谷歌那样
[00:21:12 - 00:21:14] 拥有全链路的研发技能
[00:21:14 - 00:21:16] 积累身后更不像DingMine那样
[00:21:16 - 00:21:19] 对科学研究的突破有着一然的决心
[00:21:19 - 00:21:22] 如今口拍来的等AI产品的成功
[00:21:22 - 00:21:24] 更大程度上可能还要归咎于
[00:21:24 - 00:21:25] 之前打下的商业网络
[00:21:25 - 00:21:27] 可能大家更想知道的是
[00:21:27 - 00:21:29] 如果抛开OpenI不谈
[00:21:29 - 00:21:32] 微软如今自己有多少的AI研发能力
[00:21:32 - 00:21:35] 这也将影响着整个资本市场对它的看法
[00:21:35 - 00:21:36] 今天的节目内容就到这里
[00:21:36 - 00:21:37] 感谢大家的观看
[00:21:37 - 00:21:38] 我们下期再见
