BV号：BV1Cqnjz9EnB
标题：BV1Cqnjz9EnB
链接：https://www.bilibili.com/video/BV1Cqnjz9EnB
识别语言：zh
语言置信度：1
分段数：466
生成时间：2026-08-29 22:42:35

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ。
[00:20:06 - 00:20:08] 这是我们必须警惕的分化风险
[00:20:08 - 00:20:11] 第二 AI 的使用正在从修复
[00:20:11 - 00:20:14] 转向创造 从增强 转向自动化
[00:20:14 - 00:20:17] 个人用户用 AI 来生成新的代码
[00:20:17 - 00:20:19] 开发教育材料的比例在上涨
[00:20:19 - 00:20:22] 而 77% 的企业用户则是自动化使用
[00:20:22 - 00:20:25] 这意味着 AI 的生产率提升前例在释放
[00:20:25 - 00:20:32] 但是对岗位的影响也在加深,未来的职场会用AI自动化任务的能力,可能会成为一种核心竞争力。
[00:20:32 - 00:20:43] 第三,企业用AI的关键瓶颈不是模型能力,而是上下文的可得性,如果企业不能整合分散的数据和知识,就没法用AI来做复杂的任务。
[00:20:43 - 00:20:53] 所以未来除了AI模型本身,帮助企业整理上下文的服务,比如数据治理工具、知识管理系统等等,也会是一个重要的机会点。
[00:20:53 - 00:21:07] 第四,对投资者和创业者来说,报告给出了明确的绝筋方向,就是要聚焦那些能力匹配,容易部署,高价值的任务上,比如编程、教育材料的开发、企业营销内容的生成等等。
[00:21:07 - 00:21:13] 同时要关注高收入国家的多元场景,以及低收入国家的单一痛点场景。
[00:21:13 - 00:21:17] 最后我想说AI的经济影响不只是由技术决定的
[00:21:17 - 00:21:19] 更是由我们的选择决定的
[00:21:19 - 00:21:22] 历史上像电力互联网这样的技术革命
[00:21:22 - 00:21:25] 早期也都是集中在少数地区少数领域
[00:21:25 - 00:21:30] 但是随着技术的成熟互补创新的出现以及政策的引导
[00:21:30 - 00:21:33] 最终会扩散到更多地方更多行业
[00:21:33 - 00:21:35] 显然现在AI还处于早期阶段
[00:21:35 - 00:21:39] 我们今天看到的集中化未来可能会走向多元化
[00:21:39 - 00:21:42] 并且最终会像电力、互联网一样
[00:21:42 - 00:21:45] 成为一种基础工具、负能所有的行业
[00:21:45 - 00:21:46] 但是在这个过程中
[00:21:46 - 00:21:49] 我们需要基于真实的数据去理解趋势
[00:21:49 - 00:21:50] 而不是凭感觉
[00:21:50 - 00:21:53] 这也是我们今天解读这份报告的意义所在
[00:21:53 - 00:21:56] 希望今天的内容能够帮助大家更清晰地看到
[00:21:56 - 00:21:58] AI行业的真实情况
[00:21:58 - 00:21:59] 找到自己的机会点
[00:21:59 - 00:22:00] 提前预告一下
[00:22:00 - 00:22:03] OpenAI也发了一份用户使用报告
[00:22:03 - 00:22:04] 我们接下来也会解读一下
[00:22:04 - 00:22:06] 感谢收看本期视频
[00:22:06 - 00:22:07] 我们下期再见
