BV号：BV11dd8YGE8U
标题：BV11dd8YGE8U
链接：https://www.bilibili.com/video/BV11dd8YGE8U
识别语言：zh
语言置信度：1
分段数：1226
生成时间：2026-08-30 08:29:28

[00:00:00 - 00:00:01] 我們要怎麼做
[00:20:32 - 00:20:34] 但我們也要看在大級級
[00:20:34 - 00:20:36] 所以我們必須要很不斷地
[00:20:36 - 00:20:38] 進行這個進行
[00:20:38 - 00:20:39] 我們繼續在進行
[00:20:39 - 00:20:40] 進行技術的方式
[00:20:40 - 00:20:41] 我們學會了很多
[00:20:41 - 00:20:43] 在這段危險系統上
[00:20:43 - 00:20:45] 繼續帶來我們
[00:20:45 - 00:20:47] 未來的GPD
[00:20:47 - 00:20:48] 我記得有件事
[00:20:48 - 00:20:51] 我忘了, 還有一個很棒的瞬間
[00:20:52 - 00:20:57] 所以, 這就是Torch.Sombart
[00:20:57 - 00:21:03] 但是, 想想, 它很不可能是我們打了一輪
[00:21:03 - 00:21:07] 而它沒有錢, 我覺得有很多錢
[00:21:07 - 00:21:11] 只是一個給錢, 但是我們需要做前進
[00:21:11 - 00:21:14] 我們需要確保, 我們...
[00:21:14 - 00:21:17] 其實確實是這次的運動
[00:21:17 - 00:21:20] 並非超過不影響身體的健康
[00:21:20 - 00:21:23] 我們完全確實確實
[00:21:23 - 00:21:25] 我們最初很清楚
[00:21:25 - 00:21:27] 這次的運動是有負面的
[00:21:27 - 00:21:29] 我們有建立很多的系統
[00:21:29 - 00:21:31] 在給我們看見
[00:21:31 - 00:21:33] 能夠分析到
[00:21:33 - 00:21:35] 這是否一個壞處
[00:21:35 - 00:21:37] 是否一個壞處
[00:21:37 - 00:21:39] 是否一個壞處
[00:21:39 - 00:21:42] 還是是否一個壞處
[00:21:42 - 00:21:43] 可能是MLBog
[00:21:43 - 00:21:46] 或是一些類似的類型
[00:21:47 - 00:21:52] 我們當然有幾個開放的問題
[00:21:52 - 00:21:54] 包括各種問題
[00:21:54 - 00:21:56] 各種病例
[00:21:56 - 00:21:58] 各種對象的問題
[00:21:58 - 00:22:01] 最後一天
[00:22:01 - 00:22:04] 我們當然有發放Bogs
[00:22:04 - 00:22:05] 接觸他們
[00:22:05 - 00:22:07] 我們來到這個時候
[00:22:07 - 00:22:09] 有很多開放的問題
[00:22:09 - 00:22:11] 還有很多想法
[00:22:11 - 00:22:14] 在於什麼原因
[00:22:14 - 00:22:15] 是他們有不同的漢堡嗎
[00:22:15 - 00:22:16] 還是是一個漢堡
[00:22:16 - 00:22:18] 在所有的漢堡中
[00:22:18 - 00:22:19] 大家會去
[00:22:21 - 00:22:22] 在一堆桌子裡
[00:22:22 - 00:22:23] 問每個人的漢堡
[00:22:23 - 00:22:24] 哪一個漢堡
[00:22:24 - 00:22:27] 是最可能的漢堡
[00:22:27 - 00:22:29] 而漢堡的漢堡
[00:22:29 - 00:22:30] 是最可能的漢堡
[00:22:30 - 00:22:30] 就是
[00:22:30 - 00:22:32] 是一個漢堡
[00:22:32 - 00:22:34] 一個簡單的漢堡
[00:22:34 - 00:22:36] 一個上層的漢堡
[00:22:36 - 00:22:36] 有很多的漢堡
[00:22:36 - 00:22:38] 那是什麼漢堡
[00:22:38 - 00:22:40] The bug is for the...
[00:22:40 - 00:22:44] This is funny because for this specific code path
[00:22:44 - 00:22:47] we were triggering it and for context
[00:22:47 - 00:22:50] remember that we are mostly using tri-tank kernels
[00:22:50 - 00:22:52] It's just that for some corner cases
[00:22:52 - 00:22:55] that let's say the ops don't matter much
[00:22:55 - 00:22:57] we basically fall back to...
[00:22:57 - 00:22:59] I mean it is okay to run Torch ops
[00:23:00 - 00:23:05] and our specific code path
[00:23:05 - 00:23:06] I data triggered
[00:23:06 - 00:23:09] Torch.Sum function
[00:23:10 - 00:23:13] 基本上是有預算
[00:23:14 - 00:23:17] 只有在生物資源的數據
[00:23:18 - 00:23:19] 價格與數據的數據
[00:23:19 - 00:23:20] 數據和數據的數據
[00:23:20 - 00:23:22] 是有優點的
[00:23:22 - 00:23:23] 數據的數據的數據
[00:23:23 - 00:23:24] 因為數據的數據
[00:23:24 - 00:23:26] 有些預算的數據
[00:23:26 - 00:23:28] 數據的數據
[00:23:28 - 00:23:30] 最有趣的一件事
[00:23:30 - 00:23:32] 是在最後的
[00:23:32 - 00:23:34] 一旦有人預算
[00:23:34 - 00:23:36] 我找到一個研究員
[00:23:36 - 00:23:37] 我發現了這個研究員
[00:23:37 - 00:23:38] 他在這條線上
[00:23:38 - 00:23:40] 他想說 先把他接駁
[00:23:40 - 00:23:42] 看看能否接駁好所有的研究員
[00:23:42 - 00:23:45] 他接駁了所有的研究員
[00:23:45 - 00:23:47] 他們的心臟也有了
[00:23:47 - 00:23:49] 這件事
[00:23:49 - 00:23:50] 很開心
[00:23:50 - 00:23:51] 大家都覺得我們
[00:23:51 - 00:23:53] 我們在各個研究員的
[00:23:53 - 00:23:55] 各種研究員的
[00:23:55 - 00:23:56] 研究員的
[00:23:56 - 00:23:57] 研究員的
[00:23:57 - 00:23:58] 那種研究員
[00:23:58 - 00:23:59] 那種研究員
[00:23:59 - 00:24:00] 他有很多的開心
[00:24:00 - 00:24:01] 那種研究員
[00:24:01 - 00:24:02] 那時候的事發生了
[00:24:02 - 00:24:03] 我還不知道
[00:24:03 - 00:24:07] 它是從很早的日子到現在
[00:24:07 - 00:24:11] 至於它是一個很好的部分
[00:24:11 - 00:24:15] 40%以上
[00:24:15 - 00:24:17] 大家記得如何找到它嗎
[00:24:17 - 00:24:19] 我記得
[00:24:19 - 00:24:21] 我認為它在網上
[00:24:21 - 00:24:24] 想想看有一個結論
[00:24:24 - 00:24:26] 是Carnal invocations
[00:24:26 - 00:24:28] 第二個
[00:24:28 - 00:24:32] 是一個在刪除了 illegal memory  access
[00:24:32 - 00:24:36] 這是一個非常難以解釋的事
[00:24:36 - 00:24:37] 我們也知道
[00:24:37 - 00:24:40] 當然藝術團會以為
[00:24:40 - 00:24:42] 有個藝術人士
[00:24:42 - 00:24:45] 當然有個藝術人士
[00:24:45 - 00:24:48] 很多很厲害的人
[00:24:48 - 00:24:52] 每個人都在看著藝術人士
[00:24:52 - 00:24:54] 藝術人士被發現了
[00:24:54 - 00:24:55] 但我們也知道
[00:24:55 - 00:24:57] 有些問題都失去了
[00:24:57 - 00:24:59] 但並不是所有的
[00:24:59 - 00:25:03] 但在某些時期,某些人的作品是
[00:25:03 - 00:25:07] 一種有限的敲擊力
[00:25:07 - 00:25:09] 一種有限的敲擊力
[00:25:09 - 00:25:11] 而某些人開始
[00:25:11 - 00:25:13] 一位工人開始
[00:25:13 - 00:25:17] 看著不同的口罩
[00:25:17 - 00:25:19] 說,這個很不太適合的口罩
[00:25:19 - 00:25:21] 那可能很多人不打
[00:25:21 - 00:25:23] 我們會打
[00:25:23 - 00:25:26] 他說,這條線是不合的
[00:25:26 - 00:25:29] 當然我們只能保證
[00:25:29 - 00:25:31] 我們有的測試是
[00:25:31 - 00:25:33] 把改變和看出
[00:25:33 - 00:25:35] 如果所有的崩潰都會失去
[00:25:35 - 00:25:36] 而它會失去
[00:25:36 - 00:25:38] 我覺得這是我們需要的測試
[00:25:38 - 00:25:40] 不過它是
[00:25:40 - 00:25:43] 是
[00:25:43 - 00:25:44] 這就是一件事
[00:25:44 - 00:25:47] 只是崩潰在很很
[00:25:47 - 00:25:48] 低的程度
[00:25:48 - 00:25:50] 每百個步驟
[00:25:50 - 00:25:51] 每千個步驟
[00:25:51 - 00:25:53] 這是非常容易的一個失誤
[00:25:53 - 00:25:55] 但是我們應該不必
[00:25:55 - 00:25:58] 我們應該有這種能量
[00:25:58 - 00:26:00] 並不把我們給予它
[00:26:00 - 00:26:04] 是故事
[00:26:05 - 00:26:07] Alex 我明白你的生活
[00:26:07 - 00:26:09] 我認為大家可以想像到
[00:26:09 - 00:26:11] 推動和走動
[00:26:11 - 00:26:12] 但之後
[00:26:12 - 00:26:14] 你覺得自己在那邊
[00:26:14 - 00:26:16] 看過失敗的情況
[00:26:16 - 00:26:18] 絕對有很多的看過失敗
[00:26:18 - 00:26:20] 我們都做了很多
[00:26:20 - 00:26:22] 不過我認為
[00:26:22 - 00:26:24] 在那邊有很多的
[00:26:24 - 00:26:26] 我還在想要和系統的工作
[00:26:26 - 00:26:30] 做出的改善
[00:26:30 - 00:26:31] 我們還沒做到的
[00:26:31 - 00:26:33] 在網絡上設計前
[00:26:33 - 00:26:34] 發展前的時間
[00:26:34 - 00:26:36] 我們還在想要繼續
[00:26:36 - 00:26:38] 模仿這個運動
[00:26:38 - 00:26:39] 看如果有什麼辦法
[00:26:39 - 00:26:41] 我們還沒預期
[00:26:41 - 00:26:42] 所以這就是失敗
[00:26:42 - 00:26:43] 但是還有很多另一個
[00:26:43 - 00:26:44] 我們可以看看的
[00:26:44 - 00:26:46] 然後
[00:26:46 - 00:26:48] 我們還在想
[00:26:48 - 00:26:50] 我們可以做出 any other kind of improvements
[00:26:50 - 00:26:51] 我們可以做出這個運動
[00:26:51 - 00:26:53] 從MOD perspective
[00:26:53 - 00:26:57] 在 data front it becomes less busy immediately once you click go
[00:26:57 - 00:26:59] but otherwise there's still plenty to be done
[00:26:59 - 00:27:02] I think what we lean on for ML is a lot of correctness
[00:27:02 - 00:27:05] imagine there's a lot of noise signal
[00:27:05 - 00:27:08] and you are at times reading tea leaves
[00:27:08 - 00:27:09] is this healthy or not
[00:27:09 - 00:27:11] of course if you wait long enough you would know
[00:27:11 - 00:27:16] was it healthy or not, it's just that the responsibility falls out
[00:27:16 - 00:27:16] and how often are there false alarms there
[00:27:16 - 00:27:19] how often are you like oh this is looking really bad and then it's fine
[00:27:20 - 00:27:21] pretty frequently
[00:27:21 - 00:27:24] 大概半個時間
[00:27:24 - 00:27:26] 因為我們是一團團
[00:27:26 - 00:27:28] 所以我覺得對 如果不是半個時間
[00:27:28 - 00:27:30] 我們會想要看近鏡
[00:27:30 - 00:27:32] 我還有一個短短的問題
[00:27:32 - 00:27:35] 如果你有任何MLA的問題
[00:27:35 - 00:27:37] 回答前的大選
[00:27:37 - 00:27:39] 你最喜歡的是什麼
[00:27:39 - 00:27:41] 我想
[00:27:41 - 00:27:42] 我們應該
[00:27:42 - 00:27:45] 我們應該用限制的資料
[00:27:45 - 00:27:47] 回答一些問題
[00:27:47 - 00:27:50] 這是一個很大的問題
[00:27:50 - 00:27:52] 我只是給你一個答案
[00:27:52 - 00:27:53] 如果你有任何改善
[00:27:53 - 00:27:54] 有一個新的軟件
[00:27:54 - 00:27:57] 或一個新的結構
[00:27:57 - 00:28:00] 你會有什麼限定
[00:28:00 - 00:28:01] 在這個時候的系統
[00:28:01 - 00:28:02] 你不會說
[00:28:02 - 00:28:03] 我做什麼
[00:28:03 - 00:28:05] 所以
[00:28:05 - 00:28:07] 這個
[00:28:07 - 00:28:08] 這個
[00:28:08 - 00:28:09] 這個
[00:28:09 - 00:28:10] 這個
[00:28:10 - 00:28:11] 這個
[00:28:11 - 00:28:12] 這個
[00:28:12 - 00:28:13] 這個
[00:28:13 - 00:28:13] 這個
[00:28:13 - 00:28:14] 這個
[00:28:14 - 00:28:14] 這個
[00:28:14 - 00:28:15] 這個
[00:28:15 - 00:28:16] 這個
[00:28:16 - 00:28:16] 這個
[00:28:16 - 00:28:17] 這個
[00:28:17 - 00:28:17] 這個
[00:28:17 - 00:28:18] 這個
[00:28:18 - 00:28:18] 這個
[00:28:18 - 00:28:19] 這個
[00:28:19 - 00:28:19] 這個
[00:28:19 - 00:28:32] I would rather the network transport do its job and keep running and give me the available bandwidth without me worrying about it.
[00:28:32 - 00:28:34] Is there anything promising on that front?
[00:28:34 - 00:28:36] Yes, we can talk about it.
[00:28:36 - 00:28:38] Okay, let's go to Least.
[00:28:38 - 00:28:40] Two part one for you Dan.
[00:28:40 - 00:28:48] So on the data efficiency question, humans for whatever other flaws we have about learning things, we seem unbelievably data efficient.
[00:28:48 - 00:28:52] 現在是我們最好的 algorithm 現在
[00:28:52 - 00:28:53] 是從人類的
[00:28:53 - 00:28:55] 是很難去測試
[00:28:55 - 00:28:56] Apple to Apples
[00:28:56 - 00:28:57] 我覺得
[00:28:57 - 00:28:59] 就像Vibes
[00:28:59 - 00:29:01] 在語言
[00:29:01 - 00:29:03] 是相同的距離
[00:29:03 - 00:29:04] 10000X
[00:29:04 - 00:29:06] 10000X
[00:29:06 - 00:29:08] 是那種的
[00:29:08 - 00:29:10] 那種程度
[00:29:10 - 00:29:12] 它們都要視乎
[00:29:12 - 00:29:13] 每一片
[00:29:13 - 00:29:14] 有屏幕的資料
[00:29:14 - 00:29:16] 在相關的機器上
[00:29:16 - 00:29:17] 但我們不懂
[00:29:17 - 00:29:18] algorithmically
[00:29:18 - 00:29:19] 如何去把那
[00:29:19 - 00:29:26] 所以我覺得 algorithmically we're quite far away.
[00:29:26 - 00:29:30] And that's what's the first part too is do you think with our current
[00:29:31 - 00:29:35] the direction of our current approach we will get to human level data efficiency
[00:29:35 - 00:29:36] or is that just not going to happen?
[00:29:36 - 00:29:37] It doesn't matter.
[00:29:37 - 00:29:43] Well I think for decades deep learning has been about compute efficiency
[00:29:43 - 00:29:48] and what's magical besides the data and compute growth
[00:29:48 - 00:29:52] 是因為它們的改變方式很快地改變了
[00:29:52 - 00:29:55] 有不同的人、不同的世界
[00:29:55 - 00:29:56] 找到這小小的方式
[00:29:56 - 00:29:58] 讓它們變得10%更好
[00:29:58 - 00:29:59] 然後變成20%更好
[00:29:59 - 00:30:00] 然後它們繼續改變
[00:30:00 - 00:30:04] 還沒有那種
[00:30:04 - 00:30:07] 動機的效果
[00:30:07 - 00:30:08] 因為它們沒有賺錢
[00:30:08 - 00:30:10] 因為當資料有限的
[00:30:10 - 00:30:12] 然後你的電腦有限
[00:30:12 - 00:30:14] 就不賺錢
[00:30:14 - 00:30:18] and now we're entering a new stage of AI research
[00:30:18 - 00:30:22] where will be stacking data efficiency
[00:30:22 - 00:30:24] 20% here at 20% there
[00:30:24 - 00:30:27] and i think it would be a little foolish
[00:30:27 - 00:30:30] it would make predictions about it hitting walls
[00:30:30 - 00:30:35] but we i've no reason to predict a wall
[00:30:35 - 00:30:36] but it's there
[00:30:37 - 00:30:40] the brain certainly operates on different algorithmic principles
[00:30:40 - 00:30:43] than anything thats a small tweak around what wer'e doing
[00:30:43 - 00:30:46] 所以我們要調整一點點
[00:30:46 - 00:30:48] 但是我覺得有很多原因
[00:30:48 - 00:30:50] 為了適合的
[00:30:50 - 00:30:51] 這次的問題是一樣的
[00:30:51 - 00:30:52] 你們三人的問題
[00:30:52 - 00:30:53] 對嗎?
[00:30:53 - 00:30:55] 還是你們可以加…
[00:30:55 - 00:30:56] 你們可以加這個問題
[00:30:56 - 00:30:59] 會不會人類每次做10億GPU
[00:30:59 - 00:31:01] 或更高的適合性循環
[00:31:02 - 00:31:04] 我不知道會不會是適合性循環
[00:31:04 - 00:31:06] 但我認為會有些適合性循環
[00:31:06 - 00:31:07] 會不會是10億GPU
[00:31:07 - 00:31:08] 對…
[00:31:08 - 00:31:09] 我不知道會不會…
[00:31:09 - 00:31:10] 會不會完全不同
[00:31:10 - 00:31:11] 從今天開始
[00:31:11 - 00:31:14] 但是有些東西會是…
[00:31:14 - 00:31:16] 在《心靈和心靈》的學習中
[00:31:16 - 00:31:17] 那是這個程度
[00:31:17 - 00:31:19] 我覺得這樣
[00:31:19 - 00:31:21] 我們會叫做《心靈和心靈》
[00:31:21 - 00:31:23] 我希望這樣
[00:31:23 - 00:31:24] 我覺得很有趣
[00:31:24 - 00:31:26] 你會叫做《心靈和心靈》
[00:31:26 - 00:31:27] 對,我覺得不是《心靈和心靈》
[00:31:27 - 00:31:30] 只是《自然的大礙》
[00:31:30 - 00:31:32] 完全不能改變
[00:31:33 - 00:31:39] 我覺得會更加地集中
[00:31:39 - 00:31:45] 're gonna be 10 millionGPUs working together on AI system that is learning and doing things.
[00:31:45 - 00:31:51] But it might not all the parts of the brain won't necessarily will be talking to each other.
[00:31:51 - 00:31:53] That makes sense.
[00:31:53 - 00:32:06] Can you say anything that we've learned or observed about how smarter and bigger pre-trained models correlate with how good a model is at learning reasoning.
[00:32:06 - 00:32:09] 嗯 yeah so I think what we've kind of observe is
[00:32:09 - 00:32:13] ah it is better pre-training in a supervised learning
[00:32:13 - 00:32:16] it just tends to lift kind of broad based intelligence of the model
[00:32:16 - 00:32:18] and ate a lot and in generalization
[00:32:18 - 00:32:21] ah which we find to be like really complimentary
[00:32:21 - 00:32:24] I think with reasoning which can tend to be a little bit
[00:32:24 - 00:32:28] spikier or lumpier in terms of like where it's increasing intelligence
[00:32:28 - 00:32:30] um so yeah I think they they're
[00:32:30 - 00:32:32] 咱們給個 compliment
[00:32:32 - 00:32:35] To go over a little bit of a tangent to any of you guys have like a
[00:32:35 - 00:32:38] 是否有任何的影響
[00:32:38 - 00:32:39] 是否有任何的影響
[00:32:39 - 00:32:40] 那 pre-training
[00:32:40 - 00:32:41] 好像是一般的
[00:32:41 - 00:32:42] 通過所有的
[00:32:42 - 00:32:43] 我們學習的模式
[00:32:43 - 00:32:44] 我們可以得到
[00:32:44 - 00:32:47] 只有一個數量的理由
[00:32:47 - 00:32:50] 我不知道是最重要的
[00:32:50 - 00:32:51] 我覺得很有趣
[00:32:51 - 00:32:52] 我認為
[00:32:52 - 00:32:54] 不太驚訝
[00:32:54 - 00:32:55] 看這個 pre-training
[00:32:55 - 00:32:56] 當你看
[00:32:56 - 00:32:57] 什麼你在訓練
[00:32:57 - 00:32:59] 你能夠開始
[00:32:59 - 00:33:00] 一個訓練的資料
[00:33:00 - 00:33:01] 在 pre-training
[00:33:01 - 00:33:02] 是非常大的
[00:33:02 - 00:33:05] 我們正在 target 猜測末日
[00:33:05 - 00:33:05] 嗯
[00:33:05 - 00:33:05] 啊
[00:33:05 - 00:33:06] 嗯
[00:33:06 - 00:33:07] 是 kind of 五
[00:33:07 - 00:33:08] difficult to always get
[00:33:08 - 00:33:09] the same breath
[00:33:09 - 00:33:11] when we talk about doing
[00:33:11 - 00:33:12] or l
[00:33:12 - 00:33:13] and having like environments
[00:33:13 - 00:33:14] that you can kind of clean
[00:33:14 - 00:33:15] leaning at
[00:33:15 - 00:33:16] good reward signal out of
[00:33:16 - 00:33:16] and good
[00:33:16 - 00:33:18] good environments out of
[00:33:18 - 00:33:19] I agree
[00:33:19 - 00:33:20] but I think there is another factor
[00:33:20 - 00:33:23] that pre-training is
[00:33:23 - 00:33:25] essentially it is compressing
[00:33:25 - 00:33:25] the data
[00:33:25 - 00:33:26] and compressing the data
[00:33:26 - 00:33:29] is about seeing connections between
[00:33:29 - 00:33:30] different things
[00:33:30 - 00:33:31] it's about analogies
[00:33:31 - 00:33:32] it's about
[00:33:32 - 00:33:34] 種植的失去
[00:33:34 - 00:33:37] degradation
[00:33:37 - 00:33:38] ez
[00:33:38 - 00:33:40] on a particular problem
[00:33:40 - 00:33:42] this like there is a skill
[00:33:42 - 00:33:45] and a craft to thinking carefully
[00:33:45 - 00:33:47] and thinking carefully can unlock
[00:33:47 - 00:33:48] many different kinds of
[00:33:48 - 00:33:51] problem solving in different domains
[00:33:51 - 00:33:53] but there's something more
[00:33:53 - 00:33:55] learning at a more abstract level
[00:33:55 - 00:33:57] when you're compressing across
[00:33:57 - 00:34:00] domains in a way pre-training does
[00:34:00 - 00:34:01] that makes
[00:34:01 - 00:34:03] 我會改變我的問題 for you in a second
[00:34:03 - 00:34:04] I just thought of something else
[00:34:04 - 00:34:07] What's going to limit us in terms of systems progress?
[00:34:07 - 00:34:11] Chips, processors, memory, network or power?
[00:34:11 - 00:34:14] What will be the bottleneck of continuing to scale this up?
[00:34:14 - 00:34:19] This is the beauty of systems
[00:34:19 - 00:34:26] that if you do co-design the workload is adaptable to the infrastructure that you built.
[00:34:26 - 00:34:34] 但是, let's say there is no statement that broadly network is bottleneck or memory bandwidth is bottleneck
[00:34:34 - 00:34:37] or the computer's bottleneck, we have the option to basically shift.
[00:34:37 - 00:34:42] And even for the same specification of the model,
[00:34:42 - 00:34:47] we have the option of shifting resource demands to basically create a more balanced system.
[00:34:47 - 00:34:53] However, having said that, I think let's say pre-training answer is different than the inference answer and so on.
[00:34:53 - 00:34:57] 但沒有更多的記憶力
[00:34:57 - 00:35:03] 我認為這是一個很難回答的問題
[00:35:03 - 00:35:05] 不需要說話
[00:35:05 - 00:35:07] 說到那些前提
[00:35:07 - 00:35:09] 你們的團隊怎麼做得到
[00:35:09 - 00:35:10] 在這個模式上
[00:35:10 - 00:35:12] 我們準備好4-5的運動
[00:35:12 - 00:35:14] 你怎麼做到
[00:35:14 - 00:35:15] 很近的
[00:35:15 - 00:35:17] 我看他們的形狀
[00:35:17 - 00:35:19] 他們的MATMOLS
[00:35:19 - 00:35:21] 他們做得好
[00:35:21 - 00:35:23] 但是這項項目是更深刻的
[00:35:23 - 00:35:27] 回到六至九個月前
[00:35:27 - 00:35:29] 在開發的場地前
[00:35:29 - 00:35:32] 我們想把一些功能的項目
[00:35:32 - 00:35:34] 和一些需要做的項目
[00:35:34 - 00:35:36] 做到4.5個月前
[00:35:36 - 00:35:38] 我們提供了一個很大的
[00:35:38 - 00:35:40] 大型的G-Risking Run
[00:35:40 - 00:35:44] 在於用手機的構成和系統
[00:35:44 - 00:35:48] 讓ML和系統一起做得很好
[00:35:48 - 00:35:50] 所以我認為這是第一次
[00:35:50 - 00:35:51] 我們用這麼大的構設方式
[00:35:51 - 00:35:53] 就在這個構設方面
[00:35:53 - 00:35:54] 是很重要的
[00:35:54 - 00:35:57] 對,我想這是第一次
[00:35:57 - 00:35:59] 很大的一個項目
[00:35:59 - 00:36:00] 我記得
[00:36:00 - 00:36:03] 它不是只想找到一個項目
[00:36:03 - 00:36:06] 是它們要有一個項目的項目
[00:36:06 - 00:36:08] 對整個系統的項目
[00:36:08 - 00:36:10] 這個項目
[00:36:10 - 00:36:11] 不必出現
[00:36:11 - 00:36:13] 你必須要把系統
[00:36:13 - 00:36:15] 給你
[00:36:15 - 00:36:18] 所以這個構造的項目是
[00:36:18 - 00:36:25] 建築的形式和建築的項目
[00:36:25 - 00:36:29] 並且將整體的系統和ML系統都交在一起
[00:36:29 - 00:36:30] 這可能是一個項目
[00:36:30 - 00:36:32] 我們不想要的
[00:36:32 - 00:36:35] 我們想要每個系統都交在一起
[00:36:35 - 00:36:38] 基本上是給每個系統的空間
[00:36:38 - 00:36:40] 但當時的事都交在一起
[00:36:40 - 00:36:42] 我們真的要求
[00:36:42 - 00:36:44] 你需要的資料和方式
[00:36:44 - 00:36:46] 也許是怎樣的
[00:36:46 - 00:36:48] 我認為你很想要
[00:36:48 - 00:36:50] 有一個平衡的系統
[00:36:50 - 00:36:53] 和平衡的溝通
[00:36:53 - 00:36:56] 一個很像某種系統
[00:36:56 - 00:36:59] 我們最好的優點
[00:36:59 - 00:37:01] 就是這個構思
[00:37:01 - 00:37:03] 我們要如何跟這個
[00:37:03 - 00:37:05] 平衡系統有關
[00:37:05 - 00:37:07] 你會覺得很開心
[00:37:07 - 00:37:08] 我們有很多的困難
[00:37:08 - 00:37:09] 我們都想要
[00:37:09 - 00:37:10] 我們都知道的
[00:37:10 - 00:37:15] an over ...
[00:37:15 - 00:37:16] little this fun
[00:37:16 - 00:37:19] and it is the practice of building systems
[00:37:19 - 00:37:20] osal always about that
[00:37:20 - 00:37:22] that you have an idealized way
[00:37:22 - 00:37:23] of how things should work
[00:37:23 - 00:37:24] and it's just about reconciling
[00:37:24 - 00:37:28] the differencesat that with what you have
[00:37:28 - 00:37:30] I think we are not doing theory
[00:37:30 - 00:37:31] for the sakeof let's say
[00:37:31 - 00:37:32] just talking
[00:37:32 - 00:37:33] about what we wanted to be
[00:37:33 - 00:37:34] We just want to make
[00:37:34 - 00:37:36] it happen and approximate
[00:37:36 - 00:37:40] that idealto the degree that we can
[00:37:40 - 00:37:41] so
[00:37:41 - 00:37:49] honest,I think this is probably as exciting as it gets for systems.
[00:37:49 - 00:37:55] You get to really come up with the hypothesis of what is a good system design,
[00:37:55 - 00:37:59] and take it from there,and basically see the results in action very quickly,
[00:37:59 - 00:38:04] things that previously one would say this is an elegant system design.
[00:38:04 - 00:38:09] We have to just history will tell us if this is the right thing to do,
[00:38:09 - 00:38:10] or the wrong thing to do.
[00:38:10 - 00:38:13] 我們有很多的研究,我們有一個問題
[00:38:13 - 00:38:17] 我們知道目標,我們去看看
[00:38:17 - 00:38:19] 我們選擇的選擇是否正確
[00:38:19 - 00:38:20] 你覺得你的團隊有多少
[00:38:20 - 00:38:23] 將來的設計,將來的設計
[00:38:23 - 00:38:25] 將來的設計,將來的設計
[00:38:25 - 00:38:26] 將來的設計,將來的設計
[00:38:26 - 00:38:28] 對,我覺得這是很大的考慮
[00:38:28 - 00:38:31] 在做預算運動的大部分
[00:38:31 - 00:38:33] 我認為,從4.5年來
[00:38:33 - 00:38:35] 很多的工作在雜誌上
[00:38:35 - 00:38:37] 還有一些更新的設計
[00:38:37 - 00:38:39] 在更多的構造,更多的地方
[00:38:39 - 00:38:40] 我們可以設計
[00:38:40 - 00:38:42] 將來的建築和建造
[00:38:42 - 00:38:43] 我想已經有很多的
[00:38:43 - 00:38:44] 註解了
[00:38:44 - 00:38:45] 那算了
[00:38:47 - 00:38:48] 好,我的問題變成了
[00:38:48 - 00:38:49] 為何要在
[00:38:49 - 00:38:50] 超級學習工作
[00:38:51 - 00:38:52] 壓制
[00:38:53 - 00:38:56] 所以 ideal intelligence
[00:38:56 - 00:38:57] 叫做
[00:38:57 - 00:38:59] Solomanov induction
[00:39:00 - 00:39:01] 基本上
[00:39:01 - 00:39:02] 它是不確定
[00:39:02 - 00:39:03] 在於什麼 universe 它在
[00:39:04 - 00:39:05] 它想像到
[00:39:05 - 00:39:08] 統計至於 all possible universes
[00:39:08 - 00:39:12] with simple ones more likely than less simple ones
[00:39:12 - 00:39:14] and it's fully Bayesian
[00:39:14 - 00:39:16] it keeps all of these possibilities in head
[00:39:16 - 00:39:19] and updates it's views as it progresses
[00:39:19 - 00:39:21] and you can approximate this
[00:39:21 - 00:39:25] by finding the shortest program
[00:39:25 - 00:39:29] that computes everything you've seen so far
[00:39:29 - 00:39:32] and what we're doing with pre-training
[00:39:32 - 00:39:34] or one way to think about what pre-training is doing
[00:39:34 - 00:39:37] 是它在用來尋找
[00:39:37 - 00:39:39] 最短期的程序
[00:39:39 - 00:39:41] 將所有的資料
[00:39:41 - 00:39:43] 人們所在的
[00:39:43 - 00:39:44] 作為
[00:39:44 - 00:39:46] 作為一個促進的方式
[00:39:46 - 00:39:48] 為什麼要在
[00:39:48 - 00:39:50] 下一步的計劃上看
[00:39:50 - 00:39:52] 這是一個很細小的問題
[00:39:52 - 00:39:54] 有一個比較有的
[00:39:54 - 00:39:56] 計劃
[00:39:56 - 00:39:58] 在長時間內
[00:39:58 - 00:40:00] 為什麼內容
[00:40:00 - 00:40:02] 不像是用來尋找
[00:40:02 - 00:40:04] 基本上是用数字来平衡
[00:40:04 - 00:40:05] 有很多数字的数字
[00:40:05 - 00:40:06] 然后有小数字的数字
[00:40:06 - 00:40:08] 数字的数字将被删除
[00:40:08 - 00:40:11] 因此,数字必须要删除
[00:40:11 - 00:40:12] 必须要学习一些数字
[00:40:12 - 00:40:13] 在预测研究,整体的数字
[00:40:13 - 00:40:15] 将是非常大
[00:40:15 - 00:40:19] 他们删除了数字的数字
[00:40:19 - 00:40:21] 所以,这是一种问题
[00:40:21 - 00:40:22] 他们是否在删除
[00:40:22 - 00:40:23] 他们在做什么
[00:40:23 - 00:40:24] 他们在做什么
[00:40:24 - 00:40:25] 当然,这些数字
[00:40:25 - 00:40:26] 他们说
[00:40:26 - 00:40:28] 他们在删除
[00:40:28 - 00:40:29] 并在删除
