BV号：BV1VAu4zBEgk
标题：BV1VAu4zBEgk
链接：https://www.bilibili.com/video/BV1VAu4zBEgk
识别语言：zh
语言置信度：1
分段数：520
生成时间：2026-08-30 00:49:13

[00:00:00 - 00:00:03] 大家好,我是为什么叫QQ。
[00:18:36 - 00:18:39] Spark适合大规模的P处理
[00:18:39 - 00:18:40] 卡福卡适合实时流的处理
[00:18:40 - 00:18:43] 这两个几乎是大数据处理的标配
[00:18:43 - 00:18:46] 但是小规模的数据处理还是离不开Pandas
[00:18:46 - 00:18:48] 有41%的公司在用
[00:18:48 - 00:18:52] 但单单灵活适合快速的分析和原型开发
[00:18:52 - 00:18:53] 在编码辅助方面
[00:18:53 - 00:18:55] Galab Copaia几乎垄断了市场
[00:18:55 - 00:18:58] 75%的开发团队都在用
[00:18:58 - 00:18:59] 它和VSCode深度的集成
[00:18:59 - 00:19:01] 支持多种语言
[00:19:01 - 00:19:03] 而且背后有Galab的海量代码训练
[00:19:03 - 00:19:04] 效果确实好
[00:19:04 - 00:19:06] Kuzn排名第二
[00:19:06 - 00:19:07] 有50%的公司在用
[00:19:07 - 00:19:10] 它更加专注于AI驱动的编辑体验
[00:19:10 - 00:19:12] 比如说实时重构代码
[00:19:12 - 00:19:14] 对很多开发者来说很顺手
[00:19:14 - 00:19:15] 其他一些工具呢
[00:19:15 - 00:19:17] 比如说Codeon, Source Graph
[00:19:17 - 00:19:18] 虽然也有用户
[00:19:18 - 00:19:20] 但是份额远不如前两个
[00:19:20 - 00:19:22] 说明编程辅助工具
[00:19:22 - 00:19:24] 现在已经形成了双巨头的格局
[00:19:24 - 00:19:26] 总结一下,从这份报告来看
[00:19:26 - 00:19:29] 2025年的AI开发已经进入了深水区
[00:19:29 - 00:19:32] 不再是拼谁能够先做出一个AI的功能
[00:19:32 - 00:19:34] 而是拼谁能够把AI产品做稳定
[00:19:34 - 00:19:36] 做合规,做经济
[00:19:36 - 00:19:39] 同时搭建起来能够持续创新的团队和体系
[00:19:39 - 00:19:42] A原生公司凭借着天生的优势跑得更快
[00:19:42 - 00:19:46] 但是AI负能公司通过在现有产品中欠入AI
[00:19:46 - 00:19:47] 也能够找到自己的位置
[00:19:47 - 00:19:49] 在模型的选择上
[00:19:49 - 00:19:51] 多模型策略成为了主流
[00:19:51 - 00:19:54] 而成本和定制化成为了竞争的关键
[00:19:54 - 00:19:56] 定价和合规越来越复杂
[00:19:56 - 00:19:57] 需要平衡用户的体验
[00:19:57 - 00:19:59] 成本和监管要求
[00:19:59 - 00:20:01] 人才依然是最大的凭紧
[00:20:01 - 00:20:04] 尤其是既懂技术又懂业务的符合型人才
[00:20:04 - 00:20:06] 对想要入局的公司来说
[00:20:06 - 00:20:08] 我觉得有几个教训值得借鉴
[00:20:08 - 00:20:11] 首先是要明确AI能够解决的具体问题
[00:20:11 - 00:20:13] 不要为了AI而AI
[00:20:13 - 00:20:15] 其次是控制好API的成本
[00:20:15 - 00:20:17] 避免规模上去了利润没了
[00:20:17 - 00:20:20] 以及尽早的去搭建合规体系
[00:20:20 - 00:20:21] 别等监管来了再补课
[00:20:21 - 00:20:24] 最后就是要重视内部AI工具的落地
[00:20:24 - 00:20:28] 提升团队的效率往往比对外宣传更加重要
[00:20:28 - 00:20:31] 如今来看 AI已经不再是未来的趋势
[00:20:31 - 00:20:32] 而是现在的日常
[00:20:32 - 00:20:33] 怎么把它做好
[00:20:33 - 00:20:35] 考验的不只是技术能力
[00:20:35 - 00:20:36] 还有战略眼光
[00:20:36 - 00:20:38] 组织能力和成本意识
[00:20:38 - 00:20:40] 希望今天的内容能够带给大家一些启发
[00:20:40 - 00:20:43] 无论是在创业还是在职场
[00:20:43 - 00:20:45] 都能够更好的把握AI带来的机会
[00:20:45 - 00:20:47] 感谢大家收看本期视频
[00:20:47 - 00:20:48] 我们下期再见
