BV号：BV1tcmTBQEQe
标题：BV1tcmTBQEQe
链接：https://www.bilibili.com/video/BV1tcmTBQEQe
识别语言：zh
语言置信度：1
分段数：765
生成时间：2026-08-29 22:03:31

[00:00:00 - 00:00:05] 谢谢 首先谢谢大家花着半小时时间来听我说这些不一定有用的话
[00:00:05 - 00:00:07] 非常感谢大家
[00:18:23 - 00:18:25] 那么我们看到新化学能改变了这一点
[00:18:25 - 00:18:27] 所以它导致的结果就是
[00:18:27 - 00:18:30] 在未来的短短的几年以内
[00:18:30 - 00:18:32] 用同样的开发方式
[00:18:32 - 00:18:36] 不但在R2上面能极大地带来新的体验
[00:18:36 - 00:18:38] 同时能以极低的部署成本
[00:18:38 - 00:18:42] 和几乎无限制的部署区域的扩张速度
[00:18:42 - 00:18:44] 去带来一个R2式系统
[00:18:44 - 00:18:46] 而且它会以
[00:18:46 - 00:18:50] 充用车和Robotex的双膜失去部署
[00:18:50 - 00:18:52] 我一直不同意的观点就是
[00:18:52 - 00:18:54] 为啥Robotaxi只能是Robotaxi呢
[00:18:54 - 00:18:57] 我也很想买一辆车能全自动iOS的开啊
[00:18:57 - 00:18:58] 为什么不能
[00:18:59 - 00:19:00] 我想大家可能
[00:19:00 - 00:19:02] 如果这个价钱是合理的
[00:19:02 - 00:19:04] 我想每个人都想买一辆对吧
[00:19:04 - 00:19:06] 因为车是一个大玩具也好
[00:19:06 - 00:19:08] 你的第二空间也好
[00:19:08 - 00:19:09] 还是说是你的一个
[00:19:09 - 00:19:12] 个人能拥有的最贵的一个机器也好
[00:19:12 - 00:19:14] 它有它自己独特的价值在
[00:19:14 - 00:19:16] 其实我是我自己是比较摄孔的
[00:19:16 - 00:19:18] 我是不愿意做出租车的
[00:19:18 - 00:19:20] 还要跟司机去讲两句话
[00:19:20 - 00:19:20] 让你好烦
[00:19:20 - 00:19:21] 对吧
[00:19:21 - 00:19:22] 容不太个水最好了
[00:19:26 - 00:19:27] 另一个负担性的变化是什么呢
[00:19:28 - 00:19:31] 其实我们看到在23年20年以前
[00:19:31 - 00:19:32] 因为坦白说
[00:19:32 - 00:19:35] 一季大家多多少少都觉得天花板就在那儿了
[00:19:35 - 00:19:36] 上不去了
[00:19:37 - 00:19:39] 那么大家就开始干另外一件事情
[00:19:39 - 00:19:41] 因为饭还得吃 吃饭还得做
[00:19:41 - 00:19:42] 工资还得发嘛
[00:19:43 - 00:19:47] 就开始在整个这个空间里面去做各种碎片的功能
[00:19:47 - 00:19:48] 往上拼
[00:19:49 - 00:19:50] 其实这两张图很有意思
[00:19:50 - 00:19:52] 就是我们可以把这个问题想象成一个
[00:19:53 - 00:19:56] 在这个二维空间里面把这个空间填满
[00:19:56 - 00:19:58] 是以什么方式去把它填满
[00:20:00 - 00:20:02] 24年之前大家的想法是
[00:20:02 - 00:20:04] 这棵树形种变好去了就找这么高了
[00:20:04 - 00:20:05] 我再种一棵树
[00:20:05 - 00:20:06] 然后我再种一棵树
[00:20:06 - 00:20:07] 我再种一棵树
[00:20:08 - 00:20:09] 我把它拼起来
[00:20:09 - 00:20:10] 拼各种奇迹怪怪的功能
[00:20:11 - 00:20:12] 这是一种做法
[00:20:13 - 00:20:15] 那么24年之后做法不是这样的
[00:20:16 - 00:20:17] 我们就种这一棵树
[00:20:19 - 00:20:21] 把这棵树种得越来越粗越来越高
[00:20:22 - 00:20:24] 让它的整个网络的主干越来越大
[00:20:24 - 00:20:26] 数据量越来越大
[00:20:26 - 00:20:28] 然后你会很兴奋的发现
[00:20:29 - 00:20:31] 它涨出了新的能力
[00:20:31 - 00:20:33] 在你不知道的时候它涨出了新的能力
[00:20:33 - 00:20:35] 就是我们的车我们记得自己其实这个阶段
[00:20:35 - 00:20:38] 从来没有做过靠边停车的功能
[00:20:38 - 00:20:40] 但是我们的车车团队有一天
[00:20:40 - 00:20:41] 很有意思
[00:20:41 - 00:20:42] 它跑到右车道以后
[00:20:42 - 00:20:44] 在右一的时候
[00:20:44 - 00:20:46] 它想试一下再波右边道会怎么样
[00:20:47 - 00:20:48] 它发现那辆车跑到路边上
[00:20:48 - 00:20:50] 自己靠边停车去了
[00:20:50 - 00:20:52] 从来没有人设计过这个功能
[00:20:52 - 00:20:54] 也没有人吹过这个东西
[00:20:54 - 00:20:56] 但是它自己就有了
[00:20:56 - 00:20:59] 这个其实说实话就是新的方法论和数据驱动的魅力
[00:20:59 - 00:21:02] 因为它从人类的仇秘书句里面
[00:21:02 - 00:21:03] 它会学到一切能力
[00:21:03 - 00:21:05] 无论是好的还是坏的
[00:21:05 - 00:21:07] 当然我们需要把坏的处理掉
[00:21:07 - 00:21:11] 这就是新的方法论过去不一样的地方
[00:21:11 - 00:21:13] 过去的方法论你可以认为是加法
[00:21:13 - 00:21:17] 是PicCop一个一个一个吸收的能力点往上加
[00:21:17 - 00:21:19] 而新的方法论某个角度来讲是简法
[00:21:19 - 00:21:22] 你需要把人类全集的仇命数据里面
[00:21:22 - 00:21:23] 把你不想要的东西剪掉
[00:21:23 - 00:21:25] 然后剩下的就是全能力
[00:21:25 - 00:21:28] 这个就是两个方法的本质不同
[00:21:28 - 00:21:30] 所以会导致
[00:21:30 - 00:21:34] 至少我认为会导致我们从现在开始
[00:21:34 - 00:21:36] 会有两种完全不同的产品思路
[00:21:36 - 00:21:40] 一种是过去那样继续去拼各种平行功能
[00:21:40 - 00:21:43] 一种是像我们和FSD这样
[00:21:43 - 00:21:45] 去把这棵树种的越来越大
[00:21:45 - 00:21:46] 越来越深
[00:21:46 - 00:21:49] 我们绝不去做一些零碎的功能
[00:21:49 - 00:21:51] 我要让这些功能慢慢给他时间
[00:21:51 - 00:21:53] 在这个数上自己长出来
[00:21:53 - 00:21:55] 如果今天还没到那个时间
[00:21:55 - 00:21:56] 我就选择不做他
[00:21:56 - 00:22:01] 这是我们的态度
[00:22:01 - 00:22:01] 对
[00:22:01 - 00:22:04] 那么下一个我们应该做什么呢
[00:22:04 - 00:22:05] 这个其实就是
[00:22:05 - 00:22:08] 也是我们自己未来一两年要做的事情
[00:22:08 - 00:22:11] 有一个还是应该回到他那个基本假设
[00:22:11 - 00:22:13] 其实我们认为AI和AGI的基础理论
[00:22:13 - 00:22:17] 在未来三到五年可能不会有全新的突破
[00:22:17 - 00:22:20] 可能是进入一个眼镜和优化的阶段
[00:22:20 - 00:22:21] 首先是一个大的前提
[00:22:22 - 00:22:24] 那么有几件事情是可以做的
[00:22:24 - 00:22:25] 当然是可以做的
[00:22:25 - 00:22:28] 就第一个我们今天可以看到在大语言模型领域
[00:22:28 - 00:22:31] 可能大家有点隐隐约的碰到Scaling Law的天花板
[00:22:32 - 00:22:35] 但是我很高兴的是这件事情在AD领域还完全没有发生
[00:22:35 - 00:22:38] 因为无论是成本问题 功耗问题
[00:22:38 - 00:22:41] 还是芯片工艺的进步问题
[00:22:41 - 00:22:42] 它还没有发生
[00:22:42 - 00:22:43] 应该说刚刚开始
[00:22:44 - 00:22:47] 那么我们可能后面会每一代芯片和每一代产品
[00:22:47 - 00:22:50] 会坚持10倍算力提升
[00:22:50 - 00:22:51] 10倍模型容量
[00:22:51 - 00:22:53] 会以这方向往上叠
[00:22:54 - 00:22:55] 大家一定要记得一点
[00:22:55 - 00:22:58] 就是计算机工业的本质
[00:22:59 - 00:23:01] 就是玩命对算力
[00:23:01 - 00:23:02] 我就记得这一点
[00:23:02 - 00:23:03] 千万不要问一个问题
[00:23:03 - 00:23:04] 就是它有没有用
[00:23:04 - 00:23:05] 你需不需要
[00:23:05 - 00:23:06] 千万不要问这个问题
[00:23:07 - 00:23:08] 如果各位想问这个问题的时候
[00:23:08 - 00:23:10] 你就回家把你的手机
[00:23:11 - 00:23:11] 计算机
[00:23:12 - 00:23:13] 你家的智能电视机拿出来看看
[00:23:14 - 00:23:15] 它需不需要那个处理器
[00:23:15 - 00:23:17] 你可以认为是不需要的
[00:23:17 - 00:23:18] 为什么需要
[00:23:19 - 00:23:23] 但是因为新面工业本质上是一个印刷工业
[00:23:23 - 00:23:24] 他是不要钱的
[00:23:24 - 00:23:25] 三号他是不要钱的
[00:23:25 - 00:23:26] 只要给他时间
[00:23:27 - 00:23:27] 那么
[00:23:29 - 00:23:29] 玩命对酸力
[00:23:29 - 00:23:32] 就是计算机工业里面最fondimento的基因和逻辑
[00:23:32 - 00:23:35] 就是任何时候不要违背这件事情做事情
[00:23:35 - 00:23:38] 任何违背这件事的人都被历史淘汰了
[00:23:38 - 00:23:39] 因为他不要钱
[00:23:39 - 00:23:39] 简单点是吧
[00:23:40 - 00:23:41] 所以我们会持续的
[00:23:42 - 00:23:42] 十倍提升
[00:23:44 - 00:23:45] 持续的十倍提升
[00:23:45 - 00:23:49] 第二个事情就是我们可以刚才已经讲了
[00:23:49 - 00:23:53] 就是我们会开始重头入R4这个节点
[00:23:53 - 00:23:56] 但是不是以隔离的形式去做这件事
[00:23:56 - 00:23:59] 而是以统一的开发范式
[00:23:59 - 00:24:02] 统一的传感器配置
[00:24:02 - 00:24:07] 统一的ODD区域去打通R2到R4
[00:24:07 - 00:24:09] 我想大家可能有一天
[00:24:09 - 00:24:11] 可能已经不会在意这个概念了
[00:24:11 - 00:24:13] 就是会你的车R2的车
[00:24:13 - 00:24:15] 可能你这三号三年以后买到的车
[00:24:15 - 00:24:17] 它就已经是一个转二四系统了
[00:24:17 - 00:24:19] 这件事情是高概率会发生的
[00:24:19 - 00:24:21] 这也是我自己希望看到的
[00:24:21 - 00:24:22] 在行业里面
[00:24:23 - 00:24:25] 第三个我最想强调的一点就是
[00:24:25 - 00:24:29] 无论这个行业和技术千变万化千变万化
[00:24:30 - 00:24:31] 这种事情永远会发生的
[00:24:33 - 00:24:35] 其实你能应对这件事情的时候
[00:24:35 - 00:24:36] 第一 不要印机
[00:24:37 - 00:24:39] 就没几个月我们就突然说
[00:24:39 - 00:24:39] 以前都不对
[00:24:39 - 00:24:40] 我们要改 全改
[00:24:40 - 00:24:41] 这是不对的
[00:24:41 - 00:24:51] 你需要做的事情就是把你自己公司的工程能力和组织能力不断的去强化,再强化
[00:24:52 - 00:25:00] 只有一个稳定的能承载这个工程的公司组织,才能应对一切的这些变化
[00:25:01 - 00:25:03] 有新技术的时候你能快速的去导入它
[00:25:04 - 00:25:07] 而新技术导入以后会碰到一堆爆发的问题
[00:25:07 - 00:25:10] 你能有集团军的作战能力去把它下面掉
[00:25:11 - 00:25:13] 而且持续的去打磨天 难问题
[00:25:14 - 00:25:17] 所以一个好的工程能力和一个好的组织能力
[00:25:17 - 00:25:23] 是一个公司至关重要 至关重要的能发展的基座
[00:25:23 - 00:25:24] 我称之为工业5G
[00:25:24 - 00:25:27] 在应对整个不确定的世界和技术的时候
[00:25:27 - 00:25:29] 这是唯一能确定的事情
[00:25:29 - 00:25:30] 也是我们应该重头的事情
[00:25:33 - 00:25:34] 对
[00:25:34 - 00:25:36] 这个证文就这么多
[00:25:36 - 00:25:38] 就是后面他们要给我准备了几个问题
[00:25:38 - 00:25:40] 就简单讲一讲吧
[00:25:40 - 00:25:42] 他们不知道谁问我的说现在还抑郁吗
[00:25:42 - 00:25:44] 对对对
[00:25:44 - 00:25:45] 嗯
[00:25:45 - 00:25:47] 坦白说还挺意义的
[00:25:47 - 00:25:49] 就为什么呢
[00:25:49 - 00:25:53] 就第一个前段时间确实被量产压得不行
[00:25:53 - 00:25:54] 因为时间很紧
[00:25:54 - 00:25:56] 而且新饭是
[00:25:56 - 00:25:57] 不像大家看的这么美好
[00:25:57 - 00:25:59] 新饭是有新饭式的问题啊
[00:25:59 - 00:26:01] 就这么短的时间内要解决掉
[00:26:01 - 00:26:02] 就是
[00:26:02 - 00:26:04] 我们的工程团队就不是我本人啊
[00:26:04 - 00:26:05] 就是我们的工程团队
[00:26:05 - 00:26:07] 确实非常辛苦也非常给力
[00:26:07 - 00:26:08] 就在这么短的时间内
[00:26:08 - 00:26:09] 把这么多问题都解决掉了
[00:26:09 - 00:26:11] 其实我觉得
[00:26:11 - 00:26:14] 虽然我骂了他们很多 平时给他们很大压力
[00:26:14 - 00:26:16] 但是我觉得还是要很感谢他们
[00:26:16 - 00:26:19] 其实他们是业内很了不起的一帮人
[00:26:20 - 00:26:20] 很了不起的一帮人
[00:26:21 - 00:26:23] 第二个我们能看到
[00:26:24 - 00:26:26] 应对这么多变化的时候
[00:26:26 - 00:26:28] 你会看到还有很多事情需要做
[00:26:28 - 00:26:29] 第一个
[00:26:30 - 00:26:32] 今天大家可能试过HSD了
[00:26:32 - 00:26:33] 觉得还不错 对吧
[00:26:33 - 00:26:35] 但你说它是不是达到人类世界的水平呢
[00:26:35 - 00:26:36] 我觉得显然没有
[00:26:37 - 00:26:39] 我最近能看到我们自己公司内部的论坛里面
[00:26:39 - 00:26:44] 大家已经不再讨论什么绕形啊这些什么权度这些事情了不讨论了
[00:26:45 - 00:26:46] 他在这边跟我讨论这个
[00:26:48 - 00:26:50] 后面一个水坑你该咋办
[00:26:51 - 00:26:57] 然后这个反正讨论一些很奇奇怪怪的一些case 然后昨天还有个人在印则里发了个消息说
[00:26:58 - 00:27:01] 前面有个卡车在跟你错出的时候 你是应该等他
[00:27:02 - 00:27:04] 名笛等他还是应该绕过去 在讨论这种问题
[00:27:04 - 00:27:07] 其实我一开始看到问题的时候
[00:27:07 - 00:27:08] 我是有点恼火的
[00:27:08 - 00:27:11] 就是范还为师保就开始想别的了
[00:27:11 - 00:27:13] 但是后来想想看
[00:27:13 - 00:27:14] 这个其实是个好事情
[00:27:14 - 00:27:17] 就说明大家已经认为系统的基本能力已经过了
[00:27:17 - 00:27:21] 大家是讨论以人类的标准的重新再看待这个系统了
[00:27:21 - 00:27:23] 那么这个是对我们来讲是未来一到两年
[00:27:23 - 00:27:25] 需要做一个新的挑战
[00:27:25 - 00:27:27] 等你把这些问题搞定以后
[00:27:27 - 00:27:29] 这个系统就可能真的就比较像一个人了
[00:27:29 - 00:27:30] 但这些问题极其难
[00:27:30 - 00:27:33] 我们看到有希望知道它必须解决
[00:27:33 - 00:27:34] 但是怎么解决
[00:27:34 - 00:27:34] 我谈说的不
[00:27:34 - 00:27:37] 今天我还没有非常非常清晰的答案
[00:27:37 - 00:27:39] 但是这件事情是需要我就做的
[00:27:39 - 00:27:41] 但为什么我还是比较焦虑呢
[00:27:41 - 00:27:45] 就是坦白的说你做这种事情风险非常非常高啊
[00:27:46 - 00:27:48] 做一轮实验可能是十个亿
[00:27:48 - 00:27:49] 不一定成功
[00:27:49 - 00:27:50] 对吧
[00:27:50 - 00:27:51] 这种事情是很恐怖的
[00:27:51 - 00:27:52] 对
[00:27:52 - 00:27:53] 但是必须要就做
[00:27:54 - 00:27:54] 对
[00:27:56 - 00:27:57] 第二个就是
[00:27:57 - 00:27:59] 第二个问题是
[00:27:59 - 00:28:01] 对现状满意和其他的计划是吧
[00:28:01 - 00:28:06] 反正说我觉得很难说满意或者不满意
[00:28:06 - 00:28:08] 你要说SOP是不是达到我的基本预期
[00:28:08 - 00:28:10] 我觉得算是
[00:28:10 - 00:28:13] 但是我觉得我们刚才说了
[00:28:13 - 00:28:15] 我们自己做自动驾驶的这帮人
[00:28:15 - 00:28:20] 本质的目的是做一个能替代人类的司机的这么一个机器
[00:28:20 - 00:28:21] 制裁是我们所有工作的意义
[00:28:21 - 00:28:23] 否则它没有意义这件事情
[00:28:23 - 00:28:26] 那么从这个维度来讲的话
[00:28:26 - 00:28:28] 我记得我们还有很多工作需要去做
[00:28:28 - 00:28:33] 未来的计划我觉得刚才也已经其实讲过这个问题
[00:28:33 - 00:28:38] 就是研发的方式以R4为核形
[00:28:38 - 00:28:42] 然后用CheryPick的方式去反骨R
[00:28:42 - 00:28:46] 我们希望在未来的两到三年
[00:28:46 - 00:28:50] 第一个让当前小商大家看到的HSB这套乘用车的系统
[00:28:50 - 00:28:52] 体验有一个巨大的进步
[00:28:52 - 00:28:53] 有一个质的飞越
[00:28:53 - 00:28:55] 我觉得这件事情是一定会发生的
[00:28:55 - 00:28:59] 第二个就是我很希望在未来的几年
[00:29:00 - 00:29:05] 我们能把一个L4的级别的车
[00:29:05 - 00:29:09] 以同样的价格在用户无感的情况下
[00:29:09 - 00:29:10] 送到你的手上
[00:29:10 - 00:29:13] 这个是我们希望对行业能做到的一个要求
[00:29:13 - 00:29:14] 虽然很难
[00:29:14 - 00:29:16] 但是我觉得这是我们所有人
[00:29:16 - 00:29:20] 辛苦了这20年做这一行的意义所在
[00:29:20 - 00:29:22] 对 大概是这样
[00:29:22 - 00:29:23] 好 谢谢大家
